Timestamp,Email,Gender,Marital Status,Department,GPA of last semester,CGPA,Class attendance,Self-study per week,Homework on time,Study materials access,Study environment,Library Usage,Interaction with teachers,Peers support,Stress,Current living situation,Financial aid,Employment,Own expenses,Contribution on family,Financial difficulties,Relationship with parents,Parents support,Internet access,Online resource usage,Technology comfort,Motivation,Extracurricular activities,Sleeping hours,Caffeine consumtion,Social media usage,Health condition,Engagement in hobbies,Primary academic goal,Career goal,Challenges in studies,External factors
10/10/2024 07:52:23,,Female,Unmarried,cse,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),More than 15 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Always,Living with roommates,No,"Yes, but occasionally (temporary jobs)","Yes, partially","Yes, occasionally",Occasionally,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Rarely,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",,
10/10/2024 07:55:17,,Male,Unmarried,CSE,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),5–10 hours,Always,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Somewhat supportive,Often,Living with roommates,No,"Yes, part-time","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Often,5–6 hours,Occasionally (1–2 times a week),1–2 hours,No,Occasionally (once a month),Improving my GPA,"Yes, I have a specific goal",,
10/10/2024 07:55:42,,Male,Unmarried,Pharmacy ,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Always,Living with roommates,"Yes, full scholarship/financial aid","Yes, part-time","No, my family supports me",No,Occasionally,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Never,5–6 hours,Daily,More than 4 hours,"Yes, a physical condition",Occasionally (once a month),Passing the course,"Yes, I have a specific goal",Financial condition,Both are factors
10/10/2024 08:00:33,,Female,Married,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Often,Living with parents/guardians,"Yes, partial scholarship/financial aid","Yes, but occasionally (temporary jobs)","Yes, partially","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Often,5–6 hours,Daily,1–2 hours,No,Regularly (once a week),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",,
10/10/2024 08:01:20,,Male,Unmarried,Cse,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Never,Somewhat supportive,Often,Living with parents/guardians,"Yes, partial scholarship/financial aid","No, I am not working","Yes, partially",No,Never,"Fair (some communication, but distant)",Only financial support,"Yes, reliable access",Frequently,Somewhat comfortable,Sometimes motivated,Rarely,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",,
10/10/2024 08:01:31,,Female,Unmarried,CSE,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Somewhat comfortable,Sometimes motivated,Rarely,Less than 5 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a physical condition",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)",No,Myself ,Sometimes when I'm sick or exhausted 
10/10/2024 08:02:45,,Female,Unmarried,Civil engineering ,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Frequently,Very supportive,Often,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Sometimes,More than 8 hours,Never,More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Lack of practical knowledge and visualization ,No
10/10/2024 08:10:00,,Female,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Always,"Yes, but with difficulty","Not conducive (noisy, lack of space etc.)",Never,Rarely,Not supportive,Always,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Only financial support,"Yes, but it is unreliable",Frequently,Somewhat comfortable,Not motivated,Never,5–6 hours,Never,2–4 hours,"Yes, a mental health condition",Occasionally (once a month),Passing the course,"Yes, but it's unclear",Faul of Education system ,Yes
10/10/2024 08:11:26,,Female,Married,Msds Communication and Journalism ,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Always,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Frequently,Very supportive,Often,Living with parents/guardians,No,"No, I am not working","No, my family supports me",No,Occasionally,Good (regular communication),Both financial and mental support,"Yes, reliable access",Sometimes,Very comfortable,Mostly motivated,Never,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,No,Regularly (once a week),Achieving the highest grade,"Yes, I have a specific goal",To complete course syllabus before exam,No
10/10/2024 08:11:34,,Male,Unmarried,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),More than 15 hours,Always,"Yes, but with difficulty","Fully conducive (quiet, with necessary resources)",Never,Never,Very supportive,Sometimes,Living with roommates,No,"Yes, but occasionally (temporary jobs)","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,5–6 hours,Daily,1–2 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",It would be better for me if I got the recording of all the classes,
10/10/2024 08:13:25,,Female,Unmarried,EEE,3-3.25 (Average),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Somewhat supportive,Sometimes,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","Yes, but occasionally (temporary jobs)","No, my family supports me",No,Never,"Fair (some communication, but distant)",Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Mostly motivated,Sometimes,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),Improving my GPA,No,Lack of attention ,"1. Lack of understanding and communication with my family
2. Body Mass Index is abnormal, more than 32, working out to fix it
3. Financially stable but always try to be economic and mostly avoid buying books for PDF and avoid increasing expenses because I don’t find the investment for my study reasonable. It doesn’t matter how many books I buy, I believe my CGPA is gonna be poor. So why should I spend parents' money only to make a poor result? "
10/10/2024 08:15:16,,Female,Unmarried,Pharmacy ,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),More than 15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Frequently,Very supportive,Always,Living with roommates,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Sometimes,5–6 hours,Regularly (3–5 times a week),2–4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal","Depression, Mental Health, toxic environment ","Of course, "
10/10/2024 08:18:34,,Male,Unmarried,CSE,3.26-3.5 (Good),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Very supportive,Never,Living in university accommodation (dorms),No,"Yes, but occasionally (temporary jobs)","Yes, fully","Yes, occasionally",Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Sometimes,Very comfortable,Sometimes motivated,Often,Less than 5 hours,Daily,Less than 1 hour,No,Never,Passing the course,"Yes, I have a specific goal",Keep motivation ,No
10/10/2024 08:19:27,,Female,Unmarried,pharmacy ,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Somewhat supportive,,Living with roommates,"Yes, partial scholarship/financial aid","No, I am not working",,"Yes, occasionally",Frequently,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Mostly motivated,Sometimes,5–6 hours,Never,More than 4 hours,"Yes, a physical condition",Regularly (once a week),Improving my GPA,"Yes, but it's unclear",Financial problem ,"Yes,it creates mental pressure "
10/10/2024 08:24:13,,Female,Unmarried,Civil Engineering ,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Always,"Yes, but with difficulty","Not conducive (noisy, lack of space etc.)",Occasionally (once a month),Rarely,Not supportive,Always,Living with roommates,No,"Yes, but occasionally (temporary jobs)","No, my family supports me","Yes, occasionally",Frequently,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Often,7–8 hours,Regularly (3–5 times a week),2–4 hours,"Yes, a mental health condition",Frequently (more than once a week),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Resources for study materials.It is very time consuming to collect study materials.This must affect my CGPA.,Yes.Financial factors affect my academic performance. 
10/10/2024 08:25:51,,Male,Married,CSE,3-3.25 (Average),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Sometimes,No,"Not conducive (noisy, lack of space etc.)",Never,Never,Somewhat supportive,Never,Living with parents/guardians,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, fully","Yes, regularly",Never,Good (regular communication),Only mental support,"Yes, reliable access",Sometimes,Very comfortable,Not motivated,Often,5–6 hours,Never,More than 4 hours,No,Never,Passing the course,No,,
10/10/2024 08:31:45,,Male,Unmarried,Pharmacy ,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Occasionally,Very supportive,Often,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,5–6 hours,Daily,More than 4 hours,"Yes, a mental health condition",Never,Improving my GPA,"Yes, but it's unclear",I can't concentrate in my studies.. ,My financial condition sometimes affect my academic performance. 
10/10/2024 08:31:57,,Female,Unmarried,CSE,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Always,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Frequently,Very supportive,Always,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Never,5–6 hours,Never,More than 4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)",No,,
10/10/2024 08:37:43,,Male,Unmarried,CSE,3-3.25 (Average),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Never,Never,Not supportive,Often,Living alone,"Yes, full scholarship/financial aid","No, I am not working","Yes, fully","Yes, occasionally",Occasionally,Excellent (close and supportive relationship),No support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Sometimes,7–8 hours,Never,2–4 hours,No,Never,Passing the course,"Yes, I have a specific goal",Teachers are not well educated.,
10/10/2024 08:38:03,,Female,Unmarried,Management ,,3.26-3.5 (Good),Occasionally (50–75%),5–10 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","Yes, partially","Yes, regularly",Rarely,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Never,7–8 hours,Daily,2–4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",That topic which is unknown to me is the most significant challenge ,No
10/10/2024 08:41:45,,Male,Unmarried,Cse,3-3.25 (Average),3-3.25 (Average),Rarely (Less than 50%),Less than 5 hours,Sometimes,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Never,Somewhat supportive,Always,Living alone,"Yes, partial scholarship/financial aid","Yes, but occasionally (temporary jobs)","Yes, partially",No,Occasionally,"Fair (some communication, but distant)",Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,5–6 hours,Never,More than 4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),Passing the course,"Yes, I have a specific goal",🙂,No
10/10/2024 08:42:19,,Female,Unmarried,cse ,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Sometimes,No,Partially conducive (sometimes noisy),Never,Never,Somewhat supportive,Always,Living with roommates,No,"No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Sometimes motivated,Never,Less than 5 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Low Concentration ,No
10/10/2024 08:55:29,,Female,Unmarried,Fisheries ,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Always,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Mostly motivated,Rarely,5–6 hours,Regularly (3–5 times a week),2–4 hours,"Yes, a mental health condition",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,
10/10/2024 08:56:38,,Female,Unmarried,ECE,3.76- higher (Best),3-3.25 (Average),Regularly (More than 75%),10–15 hours,Always,"Yes, always","Not conducive (noisy, lack of space etc.)",Occasionally (once a month),Frequently,Very supportive,Sometimes,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Mostly motivated,Never,5–6 hours,Daily,2–4 hours,"Yes, a mental health condition",Occasionally (once a month),Achieving the highest grade,"Yes, I have a specific goal",noise and sometimes i face mental health problem,Yes sometimes...
10/10/2024 08:56:52,,Female,Unmarried,Civil Engineering ,Below 3 (Below Average),Below 3 (Below Average),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),,Rarely,Very supportive,Always,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,No,Sometimes,Somewhat comfortable,Sometimes motivated,Never,Less than 5 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Memorising ,"Health issues, financial issues. "
10/10/2024 08:57:34,,Female,Unmarried,Management ,3-3.25 (Average),3-3.25 (Average),Rarely (Less than 50%),5–10 hours,Sometimes,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Frequently,Very supportive,Sometimes,Living alone,"Yes, full scholarship/financial aid","Yes, part-time","No, my family supports me","Yes, occasionally",Rarely,Good (regular communication),Both financial and mental support,"Yes, reliable access",Sometimes,Very comfortable,Mostly motivated,Sometimes,5–6 hours,Daily,1–2 hours,"Yes, a physical condition",Frequently (more than once a week),Passing the course,"Yes, but it's unclear",Going University ,Yes
10/10/2024 08:58:11,,Male,Unmarried,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Never,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Very supportive,Always,Living with roommates,No,"Yes, part-time","Yes, partially","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Rarely,Less than 5 hours,Daily,More than 4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Lack of Concentration,No
10/10/2024 09:00:00,,Female,Unmarried,Pharmacy ,3.26-3.5 (Good),3.26-3.5 (Good),Occasionally (50–75%),Less than 5 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Not supportive,Often,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Not motivated,Never,5–6 hours,Daily,More than 4 hours,"Yes, a mental health condition",Never,Improving my GPA,"Yes, but it's unclear",Poor mental health condition ,Yes
10/10/2024 09:02:28,,Male,Unmarried,CSE,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Always,Living in university accommodation (dorms),No,"No, I am not working","Yes, fully","Yes, occasionally",Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Rarely,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),Improving my GPA,No,,
10/10/2024 09:02:42,,Male,Unmarried,CSE,3.76- higher (Best),3.26-3.5 (Good),Occasionally (50–75%),Less than 5 hours,Sometimes,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Often,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Rarely,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Sometimes,Very comfortable,Sometimes motivated,Never,5–6 hours,Occasionally (1–2 times a week),1–2 hours,No,Frequently (more than once a week),Improving my GPA,No,Lack of motivation and laziness. ,No
10/10/2024 09:05:44,,Male,Unmarried,URP,3-3.25 (Average),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Most of the time,"Yes, always","Not conducive (noisy, lack of space etc.)",Never,Rarely,Very supportive,Always,Living in university accommodation (dorms),No,"Yes, part-time","Yes, partially",No,Occasionally,Good (regular communication),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Not motivated,Rarely,7–8 hours,Regularly (3–5 times a week),More than 4 hours,No,Regularly (once a week),Passing the course,No,Don't have a clear goal in life. going with the wind.,Nyet
10/10/2024 09:07:56,,Female,Unmarried,CE,Below 3 (Below Average),Below 3 (Below Average),Regularly (More than 75%),10–15 hours,Always,"Yes, but with difficulty",Partially conducive (sometimes noisy),Frequently (multiple times a week),Rarely,Very supportive,Often,Living with roommates,No,"Yes, but occasionally (temporary jobs)","No, my family supports me",No,Rarely,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Mostly motivated,Sometimes,5–6 hours,Regularly (3–5 times a week),2–4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear","Sometimes I can't express myself in english, also sometimes it’s  hard to understand english   ","Yes,because sometimes I become sick which affect my result,again sometimes I don’t have money to buy my study materials     "
10/10/2024 09:08:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2024 09:08:58,,Female,Unmarried,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Frequently,Very supportive,Often,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Not motivated,Rarely,7–8 hours,Regularly (3–5 times a week),Less than 1 hour,No,Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",To keep myself motivated,No
10/10/2024 09:09:20,,Male,Married,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),More than 15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Sometimes,Living with roommates,"Yes, partial scholarship/financial aid","Yes, but occasionally (temporary jobs)","No, my family supports me","Yes, occasionally",Rarely,Good (regular communication),Both financial and mental support,"Yes, but it is unreliable",Frequently,Somewhat comfortable,Mostly motivated,Often,5–6 hours,Occasionally (1–2 times a week),Less than 1 hour,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Lack of concentration during study,NO
